Flooring,ViewYN,PoolPrivateYN,ListingKey,CloseDate,ClosePrice,Latitude,Longitude,LivingArea,DaysOnMarket,ListingKeyNumeric,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,StateOrProvince,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,Dataset
132.0,1,0,1138315596,2025-11-03,590000.0,34.059618,-117.037438,2234.0,10,1138315596,123.0,37.0,1,4.0,1992.0,3.0,891.0,4.0,1.0,1,2.0,12.0,1.0,0,2.0,396.0,480.0,0.0,5513.0,Train
220.0,0,0,1138283850,2025-11-03,1068000.0,37.71366562,-122.07183916,1415.0,16,1138283850,894.0,0.0,1,1.0,1951.0,2.0,133.0,3.0,1.0,1,1.0,2.0,0.0,0,1.0,364.0,1007.0,0.0,7200.0,Train
224.0,0,0,1111208953,2025-11-03,1480000.0,33.983287,-118.372637,1787.0,43,1111208953,3.0,18.0,1,2.0,1954.0,3.0,443.0,3.0,1.0,1,1.0,2.0,0.0,0,2.0,147.0,50.0,0.0,7372.0,Train
131.0,1,1,1137999987,2025-11-03,1400000.0,33.675491,-116.273002,3400.0,30,1137999987,148.0,34.0,1,4.0,1994.0,4.0,379.0,3.0,1.0,1,1.0,18.0,0.0,0,2.0,364.0,412.0,565.0,9148.0,Train
224.0,1,0,1138430851,2025-11-03,8395000.0,34.098809,-118.391188,6200.0,13,1138430851,431.0,18.0,0,0.0,1990.0,7.0,443.0,4.0,1.0,1,1.0,0.0,0.0,0,2.0,364.0,62.0,0.0,24719.0,Train
221.0,0,0,1137999726,2025-11-03,1125000.0,32.92713301,-117.14793908,1404.0,16,1137999726,386.0,38.0,1,4.0,1972.0,2.0,694.0,4.0,1.0,1,1.0,2.0,0.0,0,2.0,364.0,384.0,0.0,7260.0,Train
192.0,0,0,1137999696,2025-11-03,1360000.0,37.70125963,-122.49557637,1400.0,13,1137999696,275.0,42.0,1,1.0,1953.0,3.0,193.0,3.0,1.0,1,1.0,18.0,0.0,0,1.0,253.0,832.0,0.0,3664.0,Train
135.0,1,1,1137841604,2025-11-03,1050000.0,34.143921,-117.853096,1507.0,5,1137841604,221.0,18.0,1,6.0,1959.0,2.0,287.0,3.0,1.0,1,1.0,2.0,3.0,0,2.0,128.0,265.0,0.0,12351.0,Train
134.0,1,0,1139822354,2025-11-03,2050000.0,37.78458719,-121.94167947,2824.0,10,1139822354,894.0,6.0,0,3.0,1989.0,3.0,714.0,4.0,1.0,1,2.0,12.0,0.0,0,3.0,317.0,1113.0,43.0,8580.0,Train
110.0,1,0,1137657992,2025-11-03,2400000.0,33.911016,-118.377552,2949.0,12,1137657992,6.0,18.0,0,2.0,2006.0,3.0,311.0,4.0,1.0,1,2.0,12.0,1.0,0,2.0,392.0,81.0,0.0,5464.0,Train
217.0,1,1,1138365927,2025-11-03,1350000.0,33.542023,-117.061015,2299.0,10,1138365927,860.0,34.0,0,1.0,1979.0,4.0,795.0,4.0,1.0,1,1.0,2.0,4.0,0,1.0,353.0,527.0,0.0,95396.4,Train
221.0,0,0,1137655481,2025-11-03,765000.0,32.84320862,-116.95225377,1048.0,11,1137655481,354.0,38.0,0,4.0,1960.0,2.0,732.0,3.0,1.0,0,1.0,2.0,0.0,0,2.0,364.0,352.0,0.0,7260.0,Train
221.0,1,0,1137651105,2025-11-03,1055000.0,32.715738,-117.161084,1965.0,12,1137651105,364.0,38.0,1,2.0,1986.0,3.0,694.0,3.0,1.0,1,2.0,12.0,0.0,0,2.0,282.0,386.0,219.0,3398.0,Train
217.0,0,1,1137650554,2025-11-03,1400000.0,33.684159,-116.282375,4068.0,16,1137650554,148.0,34.0,1,6.0,1991.0,5.0,379.0,3.0,1.0,1,1.0,2.0,0.0,0,3.0,364.0,412.0,300.0,11761.0,Train
132.0,1,0,1138400236,2025-11-03,280000.0,33.697579,-117.186908,992.0,7,1138400236,860.0,34.0,1,1.0,1964.0,1.0,474.0,2.0,1.0,0,1.0,2.0,2.0,0,1.0,208.0,524.0,456.0,6534.0,Train
64.0,0,0,1138431562,2025-11-03,910000.0,34.417108,-119.285004,1867.0,6,1138431562,902.0,57.0,0,2.0,1957.0,2.0,551.0,4.0,1.0,0,1.0,2.0,0.0,0,2.0,364.0,627.0,0.0,20908.0,Train
221.0,1,0,1137640810,2025-11-03,11000000.0,34.018787,-117.80779,1841.0,9,1137640810,210.0,18.0,0,2.0,1960.0,3.0,208.0,4.0,1.0,1,1.0,2.0,4.0,0,2.0,279.0,279.0,0.0,13153.0,Train
134.0,1,0,1139297750,2025-11-03,1398000.0,33.664609000000006,-117.956849,1611.0,4,1139297750,40.0,29.0,1,2.0,1966.0,2.0,335.0,4.0,1.0,1,1.0,2.0,4.0,0,2.0,146.0,548.0,0.0,6200.0,Train
221.0,1,0,1139606373,2025-11-03,1270000.0,33.25010846,-116.98972961,3307.0,10,1139606373,358.0,38.0,0,8.0,2025.0,4.0,830.0,4.0,1.0,1,1.0,2.0,0.0,0,4.0,364.0,356.0,0.0,140698.8,Train
